Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Urgency,Effort
Boredom,0.05557,0.01012,0.71637,0.5249,0.20177,0.2685
Boredom,0.00358,0.013,0.91883,0.59314,0.1571,0.04805
Boredom,0.00927,0.06061,0.01444,0.45471,0.04679,0.29181
Boredom,0.12368,0.11932,0.98464,0.53056,0.03742,0.17348
Boredom,0.11082,0.04583,0.89821,0.51446,0.11247,0.0943
Boredom,0.05333,0.1667,0.45108,0.47162,0.03454,0.04167
Boredom,0.04673,0.14112,0.46961,0.46029,0.2502,0.25848
Boredom,0.03116,0.16023,0.81623,0.53087,0.0423,0.02563
Boredom,0.09541,0.0319,0.82438,0.46218,0.2621,0.04382
Boredom,0.04462,0.03741,0.1565,0.54879,0.25647,0.19234
Boredom,0.05628,0.0835,0.99842,0.48019,0.16728,0.25236
Boredom,0.0355,0.03184,0.16278,0.49075,0.26208,0.11728
Boredom,0.03871,0.1148,0.01544,0.48571,0.15593,0.08421
Boredom,0.02189,0.05732,0.95653,0.48138,0.19641,0.27973
Boredom,0.06472,0.22873,0.78517,0.48085,0.15189,0.29195
Boredom,0.02136,0.08241,0.96291,0.49486,0.18361,0.12968
Boredom,0.05208,0.06094,0.71115,0.48181,0.26166,0.25429
Boredom,0.07395,0.00565,0.84592,0.45796,0.13337,0.0781
Boredom,0.06369,0.03465,0.31868,0.50012,0.28853,0.12149
Boredom,0.0132,0.00564,0.7006,0.47129,0.29443,0.07607
Boredom,0.06382,0.15982,0.84856,0.45068,0.25066,0.04478
Boredom,0.05597,0.06568,0.0971,0.54142,0.10183,0.20255
Boredom,0.00282,0.03315,0.91346,0.3402,0.21221,0.19633
Boredom,0.06165,0.05417,0.136,0.50136,0.27615,0.05175
Boredom,0.05929,0.00608,0.61208,0.49399,0.25352,0.01412
Boredom,0.01155,0.01131,0.15559,0.49935,0.15932,0.23911
Boredom,0.00952,0.03532,0.0432,0.46095,0.10327,0.24221
Boredom,0.01213,0.34382,0.81308,0.49498,0.11385,0.02143
Boredom,0.02888,0.05203,0.80677,0.59298,0.16583,0.0449
Boredom,0.05054,0.00282,0.36837,0.48532,0.11218,0.25523
Boredom,0.07582,0.03791,0.80927,0.59845,0.19172,0.29564
Boredom,0.02151,0.12401,0.98346,0.53181,0.1349,0.28363
Boredom,0.08396,0.01296,0.26813,0.48937,0.11257,0.20887
Boredom,0.00327,0.11175,0.11247,0.51863,0.07284,0.18636
Boredom,0.13477,0.07222,0.57945,0.47202,0.22099,0.096
Boredom,0.00088,0.01362,0.75668,0.49473,0.17506,0.28589
Boredom,0.05925,0.01802,0.57477,0.45662,0.21467,0.2496
Boredom,0.03586,0.094,0.7339,0.4684,0.02451,0.0907
Boredom,0.08908,0.0368,0.12301,0.42549,0.26656,0.03205
Boredom,0.00698,0.13258,0.13881,0.45346,0.11315,0.05625
Boredom,0.00217,0.01066,0.23103,0.45848,0.20927,0.19283
Boredom,0.00405,0.05692,0.10893,0.56311,0.19202,0.16923
Boredom,0.09772,0.12784,0.21163,0.3709,0.22568,0.21876
Boredom,0.06841,0.13559,0.95699,0.50252,0.04485,0.17524
Boredom,0.02159,0.18816,0.65703,0.43724,0.15591,0.11762
Boredom,0.0038,0.18244,0.42831,0.56839,0.23386,0.28584
Boredom,0.00489,0.37178,0.53561,0.55113,0.00867,0.14278
Boredom,0.0419,0.00387,0.08757,0.53123,0.09696,0.20516
Boredom,0.03514,0.13298,0.95934,0.47058,0.10073,0.04117
Boredom,0.03208,0.30239,0.69147,0.46903,0.00398,0.0561
Boredom,0.04295,0.10086,0.4031,0.54178,0.0007,0.02246
Boredom,0.02238,0.01385,0.86988,0.50828,0.27375,0.24109
Boredom,0.09249,0.05059,0.9158,0.54176,0.11093,0.27283
Boredom,0.05265,0.02778,0.24105,0.58662,0.27219,0.11683
Boredom,0.02157,0.0005,0.47437,0.51806,0.1688,0.06895
Boredom,0.08322,0.09699,0.40211,0.50234,0.17504,0.12799
Boredom,0.05204,0.07311,0.57343,0.4738,0.14918,0.23768
Boredom,0.03539,0.00036,0.89791,0.55511,0.05302,0.13912
Boredom,0.13473,0.07076,0.83425,0.48799,0.01405,0.24004
Boredom,0.09078,0.10059,0.55638,0.44595,0.05592,0.11351
Boredom,0.03089,0.12865,0.21744,0.49893,0.07774,0.04756
Boredom,0.087,0.10834,0.65046,0.47898,0.03836,0.06722
Boredom,0.02114,0.06264,0.01827,0.43438,0.2158,0.06769
Boredom,0.01332,0.01545,0.57585,0.55088,0.22777,0.09234
Boredom,0.06883,0.0291,0.91446,0.49607,0.06901,0.08522
Boredom,0.01546,0.08881,0.50005,0.51196,0.08845,0.20411
Boredom,0.02545,0.06232,0.96631,0.51524,0.20689,0.1986
Boredom,0.0163,0.02546,0.23172,0.53325,0.10919,0.13996
Boredom,0.05741,0.07008,0.74737,0.49365,0.12027,0.09858
Boredom,0.0071,0.16494,0.37957,0.54218,0.04256,0.09561
Boredom,0.07507,0.01567,0.50337,0.54159,0.14009,0.02328
Boredom,0.03196,0.09954,0.82557,0.51938,0.2979,0.20791
Boredom,0.02985,0.01543,0.63602,0.4949,0.20935,0.29662
Boredom,0.04001,0.0493,0.07889,0.51435,0.09314,0.10978
Boredom,0.08867,0.13507,0.6035,0.52419,0.13869,0.03151
Boredom,0.05374,0.06765,0.12425,0.51254,0.14455,0.14096
Boredom,0.00774,0.08187,0.31134,0.54047,0.29836,0.26956
Boredom,0.06535,0.04304,0.07664,0.48481,0.11543,0.16445
Boredom,0.04527,0.048,0.16978,0.50094,0.16815,0.02479
Boredom,0.02,0.18826,0.92898,0.55699,0.14305,0.27869
Boredom,0.0403,0.112,0.19333,0.44547,0.15207,0.15177
Boredom,0.04004,0.00319,0.90397,0.46334,0.05592,0.21949
Boredom,0.11101,0.00161,0.14009,0.50371,0.02496,0.18972
Boredom,0.03712,0.03338,0.32091,0.55893,0.25864,0.20338
Boredom,0.00813,0.03607,0.77215,0.60643,0.05805,0.24749
Boredom,0.04052,0.21888,0.51406,0.43679,0.07244,0.18455
Boredom,0.05511,0.1539,0.85227,0.5953,0.25079,0.04201
Boredom,0.01853,0.04578,0.52668,0.48956,0.11583,0.04622
Boredom,0.00863,0.07017,0.45443,0.53271,0.19128,0.11751
Boredom,0.04405,0.18595,0.0569,0.61255,0.27693,0.19207
Boredom,0.01305,0.08425,0.67612,0.58158,0.16249,0.1147
Boredom,0.0347,0.07642,0.71587,0.48956,0.16553,0.28583
Boredom,0.08184,0.03652,0.69574,0.61219,0.05178,0.21825
Boredom,0.0408,0.02245,0.23152,0.47377,0.01459,0.0028
Boredom,0.08205,0.01853,0.07206,0.54676,0.26703,0.12873
Boredom,0.02401,0.09471,0.02161,0.58379,0.04548,0.04211
Boredom,0.04154,0.03253,0.17947,0.49835,0.12603,0.03522
Boredom,0.02444,0.08795,0.38287,0.53645,0.28033,0.1939
Boredom,0.02023,0.01306,0.09262,0.49143,0.09061,0.23304
Boredom,0.11534,0.04808,0.63065,0.50809,0.09742,0.07063
Boredom,0.02137,0.04238,0.12032,0.38366,0.1239,0.2555
Boredom,0.02441,0.00266,0.02627,0.51985,0.0142,0.17969
Boredom,0.03637,0.11884,0.61154,0.45916,0.19236,0.07496
Boredom,0.02136,0.0871,0.47028,0.48517,0.14449,0.05688
Boredom,0.03176,0.04591,0.90511,0.5221,0.08317,0.16165
Boredom,0.06473,0.05445,0.61921,0.47238,0.00616,0.20898
Boredom,0.04446,0.2263,0.06887,0.52507,0.0126,0.05926
Boredom,0.02342,0.10097,0.98107,0.50637,0.13517,0.28973
Boredom,0.04883,0.15831,0.12546,0.55307,0.00597,0.10443
Boredom,0.09055,0.00547,0.94269,0.41201,0.02005,0.19532
Boredom,0.04626,0.00132,0.23482,0.60797,0.06128,0.28946
Boredom,0.07793,0.08385,0.7815,0.59774,0.09106,0.23631
Boredom,0.10665,0.19165,0.9836,0.50322,0.00256,0.02343
Boredom,0.00781,0.18213,0.88937,0.51263,0.00111,0.14326
Boredom,0.04551,0.09312,0.57936,0.42898,0.09738,0.28932
Boredom,0.03191,0.01636,0.17733,0.56473,0.22268,0.09439
Boredom,0.02144,0.06952,0.79214,0.57224,0.29688,0.05365
Boredom,0.04393,0.02543,0.07992,0.48484,0.27442,0.02775
Boredom,0.06369,0.01386,0.15381,0.5743,0.07314,0.24193
Boredom,0.01602,0.03452,0.2256,0.47933,0.23295,0.07531
Boredom,0.0104,0.15196,0.45894,0.53182,0.21851,0.03178
Boredom,0.02294,0.1947,0.8587,0.58124,0.14331,0.01145
Boredom,0.0366,0.11693,0.38942,0.48164,0.02312,0.09763
Boredom,0.07889,0.09124,0.41608,0.49962,0.00472,0.00471
Boredom,0.04213,0.07191,0.71447,0.53569,0.15163,0.01183
Boredom,0.00509,0.00387,0.46934,0.46902,0.162,0.1979
Boredom,0.00862,0.0339,0.9794,0.52539,0.20391,0.17108
Boredom,0.02338,0.04223,0.4618,0.44177,0.29409,0.17961
Boredom,0.04677,0.20629,0.3101,0.50644,0.24608,0.05579
Boredom,0.03167,0.1243,0.16443,0.59597,0.03776,0.23248
Boredom,0.0029,0.06837,0.98334,0.62754,0.15535,0.23905
Boredom,0.03432,0.0222,0.42232,0.40521,0.04941,0.27436
Boredom,0.04486,0.15201,0.93978,0.39873,0.0783,0.19853
Boredom,0.11848,0.03008,0.7044,0.5355,0.24841,0.15365
Boredom,0.05075,0.02818,0.53251,0.47694,0.10771,0.29188
Boredom,0.02498,0.05662,0.01416,0.54648,0.2864,0.21224
Boredom,0.00679,0.02022,0.46778,0.44609,0.04042,0.21089
Boredom,0.02606,0.07942,0.57229,0.49983,0.06276,0.0353
Boredom,0.03948,0.03083,0.14175,0.47468,0.29238,0.22117
Boredom,0.02136,0.02656,0.50237,0.56459,0.04658,0.24573
Boredom,0.0598,0.19635,0.71985,0.54605,0.09659,0.28339
Boredom,0.00831,0.1883,0.88048,0.45368,0.04487,0.04553
Boredom,0.08346,0.02356,0.46443,0.52566,0.18789,0.18037
Boredom,0.04907,0.04837,0.05112,0.5085,0.11502,0.29133
Boredom,0.03552,0.00881,0.13338,0.50656,0.15181,0.09187
Boredom,0.06986,0.04297,0.99447,0.53857,0.21026,0.04651
Boredom,0.08768,0.05495,0.64039,0.5285,0.11817,0.25866
Boredom,0.02608,0.11909,0.06794,0.47413,0.22146,0.13469
Boredom,0.00845,0.13308,0.73335,0.49186,0.28072,0.03925
Boredom,0.04023,0.31278,0.58727,0.54924,0.10353,0.22849
Boredom,0.03067,0.141,0.18388,0.4032,0.24238,0.21057
Boredom,0.01888,0.01658,0.42252,0.51926,0.08378,0.12305
Boredom,0.05882,0.09467,0.99231,0.54975,0.23086,0.10791
Boredom,0.03551,0.13641,0.81069,0.44792,0.20485,0.02658
Boredom,0.00755,0.07145,0.00954,0.41609,0.23178,0.10327
Boredom,0.00905,0.05134,0.84759,0.5068,0.23742,0.29458
Boredom,0.05609,0.0642,0.98845,0.39318,0.05157,0.12843
Boredom,0.075,0.03614,0.89899,0.60784,0.25848,0.05185
Boredom,0.00047,0.18708,0.2256,0.54184,0.20158,0.07216
Boredom,0.02075,0.01809,0.74213,0.56531,0.14954,0.10347
Boredom,0.01619,0.02945,0.29336,0.49551,0.29228,0.298
Boredom,0.06323,0.0965,0.77307,0.47981,0.04773,0.25929
Boredom,0.01387,0.05177,0.92614,0.46862,0.08964,0.0116
Boredom,0.00969,0.08619,0.66222,0.60164,0.02044,0.17544
Boredom,0.07395,0.0744,0.52842,0.54902,0.12065,0.21932
Boredom,0.05218,0.12788,0.04286,0.50562,0.27702,0.21282
Boredom,0.00806,0.1076,0.76974,0.42148,0.08552,0.18794
Boredom,0.04135,0.02362,0.66824,0.41556,0.23764,0.09726
Boredom,0.0707,0.02699,0.40549,0.39262,0.29029,0.155
Boredom,0.04612,0.03273,0.07225,0.47789,0.03017,0.05176
Boredom,0.03292,0.15765,0.46974,0.56575,0.19667,0.18683
Boredom,0.07794,0.07204,0.66328,0.43315,0.1953,0.09782
Boredom,0.00057,0.06489,0.58525,0.49275,0.07336,0.14405
Boredom,0.03004,0.01036,0.51429,0.47135,0.10552,0.05119
Boredom,0.03309,0.1444,0.53799,0.53581,0.28191,0.28783
Boredom,0.00459,0.06851,0.0696,0.50735,0.22557,0.12837
Boredom,0.10331,0.1106,0.11073,0.52309,0.20375,0.03469
Boredom,0.0665,0.12212,0.90754,0.6008,0.13812,0.14715
Boredom,0.00298,0.01656,0.1346,0.48781,0.18395,0.27548
Boredom,0.05359,0.30173,0.80684,0.48698,0.29701,0.0849
Boredom,0.02285,0.08695,0.97562,0.62997,0.2898,0.24296
Boredom,0.04196,0.13135,0.70871,0.53234,0.19289,0.15577
Boredom,0.03084,0.03638,0.62984,0.52405,0.14864,0.2311
Boredom,0.06281,0.01612,0.50757,0.45356,0.18669,0.16959
Boredom,0.01431,0.01907,0.94643,0.46181,0.1065,0.27
Boredom,0.07259,0.12543,0.49993,0.47739,0.06667,0.26075
Boredom,0.00288,0.14903,0.65925,0.43508,0.15054,0.12576
Boredom,0.02161,0.02541,0.78243,0.46321,0.1239,0.16064
Boredom,0.02071,0.04107,0.15275,0.43641,0.14093,0.24664
Boredom,0.0299,0.11241,0.80276,0.53682,0.02973,0.18152
Boredom,0.06669,0.08559,0.43805,0.5451,0.08159,0.06358
Boredom,0.10352,0.05994,0.99789,0.45856,0.27023,0.01884
Boredom,0.0947,0.06621,0.07924,0.49928,0.18844,0.18354
Boredom,0.02987,0.05248,0.15752,0.47113,0.27713,0.08426
Boredom,0.02292,0.02099,0.05018,0.46435,0.26924,0.27158
Boredom,0.09345,0.0194,0.31935,0.50389,0.26772,0.03342
Boredom,0.01244,0.04924,0.78141,0.48359,0.17616,0.15731
Boredom,0.00865,0.11609,0.9295,0.52793,0.14626,0.10928
Boredom,0.07759,0.14852,0.09436,0.42254,0.14289,0.02877
Boredom,0.03142,0.09932,0.02328,0.40247,0.27501,0.20177
Boredom,0.00279,0.0213,0.52972,0.55877,0.2858,0.12101
Boredom,0.05098,0.00275,0.65574,0.46521,0.02347,0.18804
Boredom,0.02895,0.06029,0.92406,0.50473,0.01063,0.20851
Boredom,0.0492,0.03235,0.78676,0.52717,0.09556,0.08346
Boredom,0.0198,0.00997,0.60135,0.60318,0.29399,0.26689
Boredom,0.02888,0.01823,0.21103,0.47144,0.22287,0.10565
Boredom,0.00641,0.09237,0.85051,0.51007,0.01038,0.27881
Boredom,0.02886,0.04622,0.33482,0.50609,0.02712,0.16132
Boredom,0.03904,0.06843,0.98244,0.61395,0.21903,0.2142
Boredom,0.01065,0.05234,0.70259,0.45699,0.22082,0.18264
Boredom,0.02266,0.0909,0.64525,0.5229,0.20249,0.17298
Boredom,0.04298,0.28695,0.89976,0.51952,0.26042,0.06033
Boredom,0.01907,0.07252,0.66209,0.54097,0.16994,0.18367
Boredom,0.0164,0.02149,0.12246,0.55501,0.29426,0.09569
Boredom,0.03934,0.04457,0.29696,0.5501,0.23443,0.04962
Boredom,0.04045,0.17285,0.60529,0.52656,0.21643,0.09474
Boredom,0.0109,0.02222,0.99642,0.47784,0.07918,0.25259
Boredom,0.01027,0.09386,0.18609,0.48855,0.29492,0.16978
Boredom,0.07223,0.04195,0.73104,0.50992,0.22286,0.07329
Boredom,0.00736,0.03356,0.56013,0.57458,0.03639,0.19359
Boredom,0.02193,0.00829,0.98603,0.55979,0.06104,0.29398
Boredom,0.01953,0.0805,0.9267,0.54341,0.06186,0.15002
Boredom,0.05206,0.04463,0.77867,0.54657,0.2049,0.09905
Boredom,0.09779,0.10649,0.94996,0.50408,0.1462,0.01341
Boredom,0.06387,0.13323,0.66999,0.4859,0.05351,0.0683
Boredom,0.0809,0.03557,0.49438,0.41877,0.21873,0.06267
Boredom,0.01579,0.02822,0.83683,0.5018,0.03469,0.00647
Boredom,0.03681,0.11481,0.35636,0.57304,0.21791,0.18144
Boredom,0.07837,0.02268,0.15137,0.46851,0.27625,0.14997
Boredom,0.08036,0.11351,0.13204,0.56455,0.15234,0.21929
Boredom,0.0956,0.01053,0.88013,0.59917,0.2851,0.14979
Boredom,0.05898,0.13784,0.91226,0.50434,0.09461,0.19712
Boredom,0.00427,0.05104,0.57411,0.53022,0.11629,0.12983
Boredom,0.04509,0.11278,0.26264,0.57939,0.22389,0.05842
Boredom,0.01304,0.24851,0.92403,0.5894,0.01481,0.06035
Boredom,0.00308,0.0949,0.61842,0.54519,0.13429,0.08297
Boredom,0.03724,0.23938,0.41741,0.52737,0.046,0.16286
Boredom,0.00637,0.13033,0.76703,0.43623,0.05406,0.02976
Boredom,0.02933,0.11189,0.28739,0.51034,0.08186,0.25802
Boredom,0.07916,0.14997,0.62428,0.49886,0.01971,0.00438
Boredom,0.04375,0.00131,0.24859,0.40334,0.07874,0.04612
Boredom,0.00554,0.10307,0.35672,0.53813,0.05869,0.25168
Boredom,0.04199,0.07226,0.09356,0.49781,0.23764,0.09228
Boredom,0.05346,0.27991,0.23341,0.43069,0.12196,0.15008
Boredom,0.00187,0.08623,0.3354,0.57497,0.10886,0.06111
Boredom,0.06174,0.05591,0.00499,0.58578,0.20964,0.25512
Boredom,0.03927,0.02647,0.61163,0.50589,0.09677,0.17296
Boredom,0.00456,0.07837,0.13246,0.53901,0.18399,0.07184
Boredom,0.03869,0.00611,0.59477,0.41793,0.12137,0.27819
Boredom,0.00789,0.00094,0.44597,0.39555,0.00848,0.159
Boredom,0.0684,0.06146,0.68086,0.49228,0.19314,0.18847
Boredom,0.01775,0.05595,0.29551,0.4542,0.27607,0.23878
Boredom,0.0085,0.07599,0.94879,0.451,0.09254,0.01115
Boredom,7e-05,0.0084,0.50116,0.45374,0.02437,0.23558
Boredom,0.04197,0.16692,0.85915,0.47296,0.03359,0.25649
Boredom,0.00419,0.00246,0.95972,0.57516,0.2498,0.01027
Boredom,0.03628,0.14043,0.24037,0.5205,0.04647,0.19058
Boredom,0.03541,0.07094,0.68133,0.43446,0.02815,0.28908
Boredom,0.08612,0.01195,0.64018,0.42683,0.28665,0.10462
Boredom,0.02518,0.18248,0.89959,0.46067,0.02618,0.06153
Boredom,0.05552,0.07348,0.17716,0.47321,0.14968,0.03778
Boredom,0.029,0.0529,0.27827,0.53632,0.26755,0.2285
Boredom,0.0085,0.11818,0.37281,0.43919,0.00325,0.28774
Boredom,0.02641,0.0356,0.36694,0.47601,0.11921,0.03319
Boredom,0.03262,0.19242,0.53926,0.48365,0.2531,0.20271
Boredom,0.02955,0.0336,0.54922,0.37737,0.25967,0.10949
Boredom,0.00469,0.03786,0.24396,0.55936,0.01338,0.02112
Boredom,0.03139,0.01257,0.93581,0.50541,0.22227,0.01275
Boredom,0.0368,0.01628,0.87268,0.45775,0.11986,0.05642
Boredom,0.00815,0.09851,0.14343,0.53924,0.27211,0.23816
Boredom,0.00514,0.03561,0.94268,0.45091,0.18457,0.12798
Boredom,0.04113,0.00075,0.04283,0.48772,0.15063,0.00845
Boredom,0.01003,0.09131,0.0329,0.48876,0.10315,0.12166
Boredom,0.02585,0.16719,0.4484,0.44867,0.11741,0.07326
Boredom,0.06692,0.02021,0.52134,0.52432,0.04389,0.25423
Boredom,0.03275,0.05135,0.40112,0.52616,0.03848,0.18676
Boredom,0.01952,0.03354,0.44442,0.52994,0.17982,0.13135
Boredom,0.0237,0.37256,0.88089,0.35796,0.08384,0.24484
Boredom,0.01796,0.02489,0.41498,0.51927,0.23882,0.24829
Boredom,0.04484,0.02171,0.28314,0.47507,0.11124,0.17589
Boredom,0.05155,0.1325,0.63433,0.58843,0.20942,0.09631
Boredom,0.07515,0.21227,0.92709,0.45462,0.06522,0.23197
Boredom,0.003,0.00079,0.77284,0.53441,0.0311,0.01292
Boredom,0.00598,0.33824,0.38811,0.45435,0.22172,0.10461
Boredom,0.0178,0.06753,0.84776,0.50815,0.11538,0.19765
Boredom,0.01738,0.05061,0.54437,0.4412,0.17115,0.02369
Boredom,0.00272,0.16625,0.17817,0.53612,0.16472,0.23148
Boredom,0.01719,0.01162,0.62793,0.50183,0.23817,0.09461
Boredom,0.09487,0.08754,0.5765,0.48354,0.07294,0.24328
Boredom,0.0322,0.18963,0.83592,0.49154,0.03457,0.11306
Boredom,0.01211,0.00628,0.49667,0.5097,0.03971,0.12766
Boredom,0.04428,0.04737,0.87666,0.50179,0.08789,0.24642
Boredom,0.02333,0.11485,0.91899,0.3968,0.08695,0.10227
Boredom,0.00951,0.01031,0.11783,0.51406,0.02493,0.27594
Boredom,0.00838,0.10943,0.93521,0.45062,0.05332,0.07827
Boredom,0.01446,0.14048,0.86219,0.54879,0.06099,0.13866
Boredom,0.14162,0.03853,0.59763,0.48506,0.0168,0.26711
Boredom,0.05103,0.09342,0.55986,0.51334,0.22111,0.25677
Boredom,0.00062,0.05983,0.94897,0.43273,0.29195,0.20016
Boredom,0.08905,0.02025,0.77175,0.50006,0.10384,0.11517
Boredom,0.00897,0.00453,0.61531,0.48576,0.15212,0.24733
Boredom,0.15587,0.03576,0.57875,0.5378,0.24344,0.10504
Boredom,0.01739,0.02935,0.89671,0.50086,0.14801,0.13973
Boredom,0.00779,0.0081,0.72635,0.48934,0.22265,0.14981
Boredom,0.0064,0.11582,0.57675,0.49683,0.1884,0.02077
Boredom,0.02789,0.10304,0.08963,0.57275,0.14009,0.29166
Boredom,0.0155,0.05288,0.65875,0.46625,0.12168,0.27282
Boredom,0.05207,0.17315,0.54975,0.47913,0.15501,0.19441
Boredom,0.04311,0.03923,0.16826,0.47546,0.1891,0.24646
Boredom,0.00837,0.00177,0.81076,0.57215,0.0963,0.179
Boredom,0.03034,0.28474,0.83635,0.516,0.03951,0.13223
Boredom,0.0033,0.03965,0.52274,0.54553,0.03131,0.17331
Boredom,0.01441,0.15702,0.35222,0.40184,0.26558,0.16625
Boredom,0.0231,0.06199,0.75813,0.53469,0.16091,0.04598
Boredom,0.03326,0.07796,0.56574,0.51341,0.05135,0.1658
Boredom,0.00638,0.08067,0.85222,0.53837,0.15693,0.03575
Boredom,0.04722,0.14167,0.36202,0.50899,0.27956,0.27276
Boredom,0.03158,0.26319,0.19514,0.54867,0.24963,0.21792
Boredom,0.06202,0.04445,0.75563,0.50931,0.2601,0.29749
Boredom,0.0423,0.01397,0.52213,0.39909,0.07218,0.20557
Boredom,0.04514,0.1063,0.65866,0.47325,0.0882,0.16494
Boredom,0.01018,0.09511,0.0067,0.51657,0.07516,0.28774
Boredom,0.01431,0.19213,0.82171,0.49821,0.2948,0.05221
Boredom,0.0193,0.0392,0.62247,0.55342,0.00371,0.2851
